,DataValue,GeoName,TimePeriod
0,53037.0,United States,2018Q1
1,53411.0,United States,2018Q2
2,53892.0,United States,2018Q3
3,54484.0,United States,2018Q4
4,41854.0,Alabama,2018Q1
5,42109.0,Alabama,2018Q2
6,42397.0,Alabama,2018Q3
7,42956.0,Alabama,2018Q4
8,58814.0,Alaska,2018Q1
9,59182.0,Alaska,2018Q2
10,60093.0,Alaska,2018Q3
11,60631.0,Alaska,2018Q4
12,43170.0,Arizona,2018Q1
13,43242.0,Arizona,2018Q2
14,43853.0,Arizona,2018Q3
15,44310.0,Arizona,2018Q4
16,42073.0,Arkansas,2018Q1
17,42276.0,Arkansas,2018Q2
18,42582.0,Arkansas,2018Q3
19,43312.0,Arkansas,2018Q4
20,61641.0,California,2018Q1
21,62399.0,California,2018Q2
22,62775.0,California,2018Q3
23,63502.0,California,2018Q4
24,56015.0,Colorado,2018Q1
25,56475.0,Colorado,2018Q2
26,57099.0,Colorado,2018Q3
27,57760.0,Colorado,2018Q4
28,73603.0,Connecticut,2018Q1
29,73654.0,Connecticut,2018Q2
30,75004.0,Connecticut,2018Q3
31,75975.0,Connecticut,2018Q4
32,50838.0,Delaware,2018Q1
33,51035.0,Delaware,2018Q2
34,51644.0,Delaware,2018Q3
35,52242.0,Delaware,2018Q4
36,81071.0,District of Columbia,2018Q1
37,81287.0,District of Columbia,2018Q2
38,82368.0,District of Columbia,2018Q3
39,82777.0,District of Columbia,2018Q4
40,48939.0,Florida,2018Q1
41,48980.0,Florida,2018Q2
42,49621.0,Florida,2018Q3
43,50097.0,Florida,2018Q4
44,45088.0,Georgia,2018Q1
45,45335.0,Georgia,2018Q2
46,46071.0,Georgia,2018Q3
47,46473.0,Georgia,2018Q4
48,54032.0,Hawaii,2018Q1
49,54283.0,Hawaii,2018Q2
50,54704.0,Hawaii,2018Q3
51,55201.0,Hawaii,2018Q4
52,42797.0,Idaho,2018Q1
53,43044.0,Idaho,2018Q2
54,43170.0,Idaho,2018Q3
55,43579.0,Idaho,2018Q4
56,56045.0,Illinois,2018Q1
57,56541.0,Illinois,2018Q2
58,57201.0,Illinois,2018Q3
59,57927.0,Illinois,2018Q4
60,46354.0,Indiana,2018Q1
61,46319.0,Indiana,2018Q2
62,46662.0,Indiana,2018Q3
63,47237.0,Indiana,2018Q4
64,47979.0,Iowa,2018Q1
65,48519.0,Iowa,2018Q2
66,48684.0,Iowa,2018Q3
67,50089.0,Iowa,2018Q4
68,49482.0,Kansas,2018Q1
69,49954.0,Kansas,2018Q2
70,50238.0,Kansas,2018Q3
71,50927.0,Kansas,2018Q4
72,41290.0,Kentucky,2018Q1
73,41710.0,Kentucky,2018Q2
74,41845.0,Kentucky,2018Q3
75,42254.0,Kentucky,2018Q4
76,44864.0,Louisiana,2018Q1
77,45443.0,Louisiana,2018Q2
78,45658.0,Louisiana,2018Q3
79,46183.0,Louisiana,2018Q4
80,47711.0,Maine,2018Q1
81,48018.0,Maine,2018Q2
82,48396.0,Maine,2018Q3
83,48821.0,Maine,2018Q4
84,62334.0,Maryland,2018Q1
85,62691.0,Maryland,2018Q2
86,63046.0,Maryland,2018Q3
