,Name,Abbreviation
0,Alabama,AL
1,Alaska,AK
2,Arizona,AZ
3,Arkansas,AR
4,California,CA
5,Colorado,CO
6,Connecticut,CT
7,Delaware,DE
8,District of Columbia,DC
9,Florida,FL
10,Georgia,GA
11,Hawaii,HI
12,Idaho,ID
13,Illinois,IL
14,Indiana,IN
15,Iowa,IA
16,Kansas,KS
17,Kentucky,KY
18,Louisiana,LA
19,Maine,ME
20,Maryland,MD
21,Massachusetts,MA
22,Michigan,MI
23,Minnesota,MN
24,Mississippi,MS
25,Missouri,MO
26,Montana,MT
27,Nebraska,NE
28,Nevada,NV
29,New Hampshire,NH
30,New Jersey,NJ
31,New Mexico,NM
32,New York,NY
33,North Carolina,NC
34,North Dakota,ND
35,Ohio,OH
36,Oklahoma,OK
37,Oregon,OR
38,Pennsylvania,PA
39,Rhode Island,RI
40,South Carolina,SC
41,South Dakota,SD
42,Tennessee,TN
43,Texas,TX
44,Utah,UT
45,Vermont,VT
46,Virginia,VA
47,Washington,WA
48,West Virginia,WV
49,Wisconsin,WI
50,Wyoming,WY
51,American Samoa,AS
52,Guam,GU
53,Northern Mariana Islands,MP
54,Puerto Rico,PR
55,U.S. Virgin Islands,VI
56,U.S. Minor Outlying Islands,UM
57,Baker Island,
58,Howland Island,
59,Jarvis Island,
60,Johnston Atoll,
61,Kingman Reef,
62,Midway Islands,
63,Navassa Island,
64,Palmyra Atoll[c],
65,Wake Island,
66,Micronesia,FM
67,Marshall Islands,MH
68,Palau,PW
69,U.S. Armed Forces – Americas[d],
70,U.S. Armed Forces – Europe[e],
71,U.S. Armed Forces – Pacific[f],
72,Northern Mariana Islands,
73,Panama Canal Zone,
74,Nebraska,
75,Philippine Islands,
76,Trust Territory of the Pacific Islands,
77,Codes:,
78,ISO,
79,ANSI,
80,USPS,
81,USCG,
82,Abbreviations:,
83,GPO,
84,AP,
